country,title,variety,color,drieness,flavors
Denmark,Vejrh?j Ving?rd Sterling 2021,-,white,dry,green apple & gooseberry
Ireland,M?in?ir Irish Blackberry Wine,-,dark ruby,sweet,wild elderberrie
Ireland,Killahora Apple Ice Wine,-,white,dry,apple
Iceland,Kumala Cape Classic Red Wine,-,red,sweet,ripe blackberry & plum fruit
Iceland,Barefoot Merlot Red Wine,-,red,dry,blackberry & raspberry & chocolate
Kosovo,Prestige Cuve,-,dark ruby,medium-dry,pear & cinnamon
Kosovo,Antigona Rose,-,pink,dry,light fresh fruit
Liechtenstein,Hernnbaumgarten,-,white,dry,herbal & mineral & tropical fruit
Liechtenstein,Anberola Merlot,-,red,dry,red fruit & pepper 
Monaco,Ch?teau Chasse-Spleen,-,red,dry,plum & blackcurrant
Monaco,Alta Langa Leonardo,-,white,dry,woody & nutty
Norway,Rutini Collecien Gewerztraminer,-,white,dry,white flowers & peach & lychee & vanilla 
Norway,Uko Estate Malbec,-,red,medium-dry,violet & dark cherries & plums & cedar & licorice
San Marino,Sangiovese di San Marino,-,red,dry,chocolate & cherry & plumb
San Marino,Sterpeto Riserva,-,red,dry,honey & stone fruits
Sweden,Vingrden i Klagshamn Terra Scania,-,white,sweet,green apples & pears & gooseberries & fresh herbs & elderberries & citrus
Sweden,Kullabergs Vingard Lyckeri,-,white,dry,barrel & green apples & pears & elder & citrus & almonds & herbs
Cyprus,Vouni Panayia Alina Xynisteri,-,white,dry,citrus & tropical fruits
Cyprus,Tsiakkas Maratheftiko,-,red,dry,dark berries & spices
Armenia,Zorah Karasi Areni Noir,-,red,dry,red berries & spices
Armenia,Voskevaz Areni,-,red,dry,wild berries & herbs
